Title,Player,Card Number,Set,Manufacturer,Season,League,Features,Images,Market Avg (eBay 90d USD),Last Sold Raw (USD),Last Sold Raw Title,Last Sold Raw URL,Last Sold Raw Ended,Team,id,sport,year,set,subset,card_number,player,team,league,parallel,insert,rookie,autograph,serial_number,grade,condition,quantity,purchase_price,value,currency,notes,image,image_back,source,timestamp,Custom label (SKU),Notes
2024 Topps Finest MLS Diego Luna,Diego Luna,17,Topps Finest MLS,Topps,2024,MLS,-,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0007_Layer%20149.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0001_Layer%20155.jpg,,,,,,Real Salt Lake,c_4ed5d541,,2024.0,Topps Finest MLS,,17,Diego Luna,Real Salt Lake,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0007_Layer%20149.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0001_Layer%20155.jpg,,2026-02-04T01:59:04.879Z,,
2024-25 Panini Donruss FIFA Pitch Kings 7 Alessandro Bastoni,Alessandro Bastoni,7,Panini Donruss FIFA,Panini,2024-25,FIFA,Pitch Kings,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22_0009_Layer%20173.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22_0003_Layer%20179.jpg,,,,,,Italy,c_cf0282b0,,2024.0,Panini Donruss FIFA,,7,Alessandro Bastoni,Italy,FIFA,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22_0009_Layer%20173.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22_0003_Layer%20179.jpg,,2026-02-04T01:59:04.879Z,,
2022-23 Topps Merlin Chrome UEFA Club Competitions Under 21 Stars 1 Alejandro Garnacho,Alejandro Garnacho,1,Topps Merlin,Topps,2022-23,UEFA Club Competitions,RC,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-56_0009_Layer%2035.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-56_0003_Layer%2041.jpg,,,,,,Manchester United,c_a7b8925,,2022.0,Topps Merlin,,1,Alejandro Garnacho,Manchester United,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-56_0009_Layer%2035.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-56_0003_Layer%2041.jpg,,2026-02-04T01:59:04.878Z,,
2023-24 Panini Select Premier League 225 William Saliba Red Ice,William Saliba,225,Panini Select Premier League,Panini,2023–24,Premier League,Red Ice,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0011_Layer%2024.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0005_Layer%2030.jpg,,,,,,Arsenal,c_be8c6f1f,,2023.0,Panini Select Premier League,,225,William Saliba,Arsenal,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0011_Layer%2024.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0005_Layer%2030.jpg,,2026-02-04T01:59:04.879Z,,
2023-24 Topps Chrome UEFA Club Competitions Wonderkids WK10 Nico Paz,Nico Paz,WK10,Topps Chrome,Topps,2023-24,UEFA Club Competitions,RC,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0006_Layer%2050.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0002_Layer%2054.jpg,,,,,,Real Madrid Castilla,c_a6035e7c,,2023.0,Topps Chrome,,WK10,Nico Paz,Real Madrid Castilla,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0006_Layer%2050.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-57_0002_Layer%2054.jpg,,2026-02-04T01:59:04.878Z,,
2023-24 Topps Stadium Club Chrome UEFA Wilfed Zaha Say Cheese,Wilfried Zaha,SCWZ,Topps Stadium Club Chrome UEFA,Topps,2023-24,UEFA,Say Cheese!,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0011_Layer%20107.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0005_Layer%20113.jpg,,,,,,Galatasaray A.S.,c_7220b4c2,,2023.0,Topps Stadium Club Chrome UEFA,,SCWZ,Wilfried Zaha,Galatasaray A.S.,UEFA,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0011_Layer%20107.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0005_Layer%20113.jpg,,2026-02-04T01:59:04.877Z,,
2024 Topps Finest MLS #47 Diogo Goncalves Gold Refractor /50 New England,Diogo Goncalves,47,Topps Finest MLS,Topps,2023-24,MLS,Gold Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0042_Layer%206.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0037_Layer%2011.jpg,,,,,,Real Salt Lake,c_d4f49fdd,,2023.0,Topps Finest MLS,,47,Diogo Goncalves,Real Salt Lake,MLS,,,,,,,raw,2.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0042_Layer%206.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0037_Layer%2011.jpg,,2026-02-04T01:59:04.879Z,,
2023-24 Panini Select Premier League 169 Alejandro Garnacho,Alejandro Garnacho,169,Select,Panini,2023-24,Premier League,Select,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0003_Layer-4.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0009_Layer-9.png,,,,,,Manchester United,c_1e21a7a6,,2023.0,Select,,169,Alejandro Garnacho,Manchester United,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0003_Layer-4.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/cards3_0009_Layer-9.png,,2026-02-04T01:59:04.876Z,,
2024-25 Panini Donruss FIFA Alejandro Garnacho Crunch Time,Alejandro Garnacho,22,Panini Donruss FIFA,Panini,2024,FIFA,Crunch Time,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-19_0011_Layer%20157.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-19_0005_Layer%20163.jpg,,,,,,Argentina,c_d786d070,,2024.0,Panini Donruss FIFA,,22,Alejandro Garnacho,Argentina,FIFA,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-19_0011_Layer%20157.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-19_0005_Layer%20163.jpg,,2026-02-04T01:59:04.879Z,,
2023-24 Topps Stadium Club Chrome UEFA Achraf Hakimi Say Cheese,Warren Zaire-Emery,SCWZE,Topps Stadium Club Chrome UEFA,Topps,2024,Ligue 1,Say Cheese!,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0006_Layer%20112.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0000_Layer%20118.jpg,,,,,,Paris Saint-Germain F.C.,c_ac680cb7,,2024.0,Topps Stadium Club Chrome UEFA,,SCWZE,Warren Zaire-Emery,Paris Saint-Germain F.C.,Ligue 1,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0006_Layer%20112.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-13_0000_Layer%20118.jpg,,2026-02-04T01:59:04.879Z,,
2024 Topps Finest MLS #126 Agustin Ojeda Gold Refractor /50 NYCFC,Agustin Ojeda,126,Topps Finest MLS,Topps,2023-24,MLS,Gold Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0010_Layer%2083.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0004_Layer%2089.jpg,,,,,,New York City FC,c_617f806d,,2023.0,Topps Finest MLS,,126,Agustin Ojeda,New York City FC,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0010_Layer%2083.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0004_Layer%2089.jpg,,2026-02-04T01:59:04.879Z,,
2023-24 Panini Select Premier League 10 William Saliba Red Ice,William Saliba,10,Panini Select Premier League,Panini,2023-24,Premier League,Red Ice,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0009_Layer%2026.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0003_Layer%2032.jpg,,,,,,Arsenal,c_9c8649b3,,2023.0,Panini Select Premier League,,10,William Saliba,Arsenal,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0009_Layer%2026.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0003_Layer%2032.jpg,,2026-02-04T01:59:04.879Z,,
2022-23 Topps Merlin Chrome UEFA Club Competitions Under 21 Stars 17 Antonio Nusa,Antonio Nusa,17,Topps Merlin,Topps,2022-23,UEFA Club Competitions,RC,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-53_0007_Layer%2035.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-53_0001_Layer%2041.jpg,,,,,,Club Brugge,c_58f78420,,2022.0,Topps Merlin,,17,Antonio Nusa,Club Brugge,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-53_0007_Layer%2035.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-53_0001_Layer%2041.jpg,,2026-02-04T01:59:04.878Z,,
2024-25 Panini Donruss FIFA Nicolas Otamendi Optic-Argyle,Nicolas Otamendi,83,Panini Donruss FIFA,Panini,2024-25,Primeira Liga,Optic-Argyle,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22_0007_Layer%20175.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22_0001_Layer%20181.jpg,,,,,,Argentina,c_1994f222,,2024.0,Panini Donruss FIFA,,83,Nicolas Otamendi,Argentina,Primeira Liga,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22_0007_Layer%20175.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-22_0001_Layer%20181.jpg,,2026-02-04T01:59:04.879Z,,
2024 Topps Chrome MLS #33 Nouhou Red Refractor Seattle Sounders,Nouhou,33,Topps Finest MLS,Topps,2023-24,MLS,Red Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nouhou_0000_Layer%202.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nouhou_0001_Layer%201.jpg,,,,,,Seattle Sounders FC,c_ba2b532e,,2023.0,Topps Finest MLS,,33,Nouhou,Seattle Sounders FC,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nouhou_0000_Layer%202.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nouhou_0001_Layer%201.jpg,,2026-02-04T01:59:04.879Z,,
2023-24 Panini Select Premier League 221 Declan Rice Purple,Declan Rice,221,Panini Select Premier League,Panini,2023–24,Premier League,Purple Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0008_Layer%2027.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0002_Layer%2033.jpg,,,,,,Arsenal,c_f841e626,,2023.0,Panini Select Premier League,,221,Declan Rice,Arsenal,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0008_Layer%2027.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-44_0002_Layer%2033.jpg,,2026-02-04T01:59:04.879Z,,
2024-25 Panini Donruss FIFA Rookie Kings #3 Alhasan Yusuf RC Auto,Alhassan Yusuf,3,Panini Donruss,Panini,2024-2025,Belgian Pro League,Rookie Kings,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-23_0010_Layer%20172.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-23_0004_Layer%20178.jpg,,,,,,Royal Antwerp FC,c_d2aae915,,2024.0,Panini Donruss,,3,Alhassan Yusuf,Royal Antwerp FC,Belgian Pro League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-23_0010_Layer%20172.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-23_0004_Layer%20178.jpg,,2026-02-04T01:59:04.878Z,,
2024 Topps Finest MLS #254 Alexey Miranchuk Orange Refractor Atlanta United,Alexey Miranchuk,254,Topps Finest,Topps,2023-2024,MLS,Orange Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0006_Layer%2087.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0000_Layer%2093.jpg,,,,,,Atlanta United FC,c_e60fe637,,2023.0,Topps Finest,,254,Alexey Miranchuk,Atlanta United FC,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0006_Layer%2087.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0000_Layer%2093.jpg,,2026-02-04T01:59:04.878Z,,
2024 Topps Finest MLS #210 Rafael Navarro Oil Spill Refractor Colorado Rapids,Rafael Navarro,210,Topps Finest MLS,Topps,2023-24,MLS,Oil Spill Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0047_Layer%201.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0041_Layer%207.jpg,,,,,,Colorado Rapids,c_42e60d75,,2023.0,Topps Finest MLS,,210,Rafael Navarro,Colorado Rapids,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0047_Layer%201.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0041_Layer%207.jpg,,2026-02-04T01:59:04.879Z,,
2024 Topps Finest MLS #43 Alexey Miranchuk Gold Refractor /50 Atlanta United,Alexey Miranchuk,43,Topps Finest MLS,Topps,2023-24,MLS,Gold Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0007_Layer%2086.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0001_Layer%2092.jpg,,,,,,Atlanta United FC,c_c413a8e5,,2023.0,Topps Finest MLS,,43,Alexey Miranchuk,Atlanta United FC,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0007_Layer%2086.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-10_0001_Layer%2092.jpg,,2026-02-04T01:59:04.879Z,,
2024 Topps Finest MLS #29 Daniel Gazdag Orange Refractor Philadelphia Union,Daniel Gazdag,29,Topps Finest MLS,Topps,2023-24,MLS,Orange Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0046_Layer%202.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0040_Layer%208.jpg,,,,,,Philadelphia Union,c_7ac0c53e,,2023.0,Topps Finest MLS,,29,Daniel Gazdag,Philadelphia Union,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0046_Layer%202.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0040_Layer%208.jpg,,2026-02-04T01:59:04.879Z,,
2024 Finest MLS Daniel Gazdag #217 Oil Spill Refractor,Daniel Gazdag,217,2024 Topps Finest MLS,Topps,2024,MLS,Oil Spill Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0007_Layer%2043.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0003_Layer%2047.jpg,,,,,,Philadelphia Union,c_ce314446,,2024.0,2024 Topps Finest MLS,,217,Daniel Gazdag,Philadelphia Union,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0007_Layer%2043.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/nexr_0003_Layer%2047.jpg,,2026-02-04T01:59:04.879Z,,
2023-24 Panini Select Premier League 168 Rasmus Hojlund White Ice,Rasmus Højlund,168,Panini Select,Panini,2023-24,Premier League,Select,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/rasmus.png|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/rasmusback.png,,,,,,Manchester United,c_280d4ced,,2023.0,Panini Select,,168,Rasmus Højlund,Manchester United,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/rasmus.png,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/rasmusback.png,,2026-02-04T01:59:04.877Z,,
2023-24 Panini Select Premier League 50 Raul Jimenez Camo,Raúl Jiménez,50,Panini Select,Panini,2023-24,Premier League,Select,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0009_Layer%2035.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0003_Layer%2041.jpg,,,,,,Fulham,c_e8ab5cc6,,2023.0,Panini Select,,50,Raúl Jiménez,Fulham,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0009_Layer%2035.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0003_Layer%2041.jpg,,2026-02-04T01:59:04.877Z,,
2024 Topps Finest MLS 243 Cristian Roldan Oil Spill Refractor,Cristian Roldan,243,Topps Finest MLS,Topps,2024,MLS,Oil Spill Refractor,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0009_Layer%20122.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0003_Layer%20128.jpg,,,,,,Seattle Sounders FC,c_da2b9c53,,2024.0,Topps Finest MLS,,243,Cristian Roldan,Seattle Sounders FC,MLS,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0009_Layer%20122.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-15_0003_Layer%20128.jpg,,2026-02-04T01:59:04.879Z,,
2023-24 Topps Chrome UEFA Club Competitions 195 Santiago Gimenez Aqua Prism Refractor,Santiago Giménez,195,Topps Chrome,Topps,2023-24,UEFA Club Competitions,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6_0004_Layer%2028.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6-back_0004_Layer%2029.jpg,,,,,,Feyenoord,c_73aa065,,2023.0,Topps Chrome,,195,Santiago Giménez,Feyenoord,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6_0004_Layer%2028.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-6-back_0004_Layer%2029.jpg,,2026-02-04T01:59:04.877Z,,
2022-23 Topps Merlin Chrome UEFA Club Competitions Ageless Alchemy AA14 Lionel Messi,Lionel Messi,AA14,Topps Merlin,Topps,2022-23,UEFA Club Competitions,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-50_0009_Layer%2019.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-50_0003_Layer%2025.jpg,,,,,,Paris Saint-Germain,c_5d881b6e,,2022.0,Topps Merlin,,AA14,Lionel Messi,Paris Saint-Germain,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-50_0009_Layer%2019.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-50_0003_Layer%2025.jpg,,2026-02-04T01:59:04.878Z,,
2023-24 Panini Select Premier League Select Future 17 Lewis Miley,Lewis Miley,17,Select Future,Panini,2023-24,Premier League,Select,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-20_0004_Layer%20112.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-20-back_0004_Layer%20113.jpg,,,,,Newcastle United,,c_3bea90e8,,2023.0,Select Future,,17,Lewis Miley,,Premier League,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-20_0004_Layer%20112.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-20-back_0004_Layer%20113.jpg,,2026-02-04T01:59:04.876Z,,
2023-24 Topps Merlin UEFA Club Competitions 1 Rafael Leao Aqua Prism Refractor,Rafael Leão,1,Topps Merlin,Topps,2023-24,UEFA Club Competitions,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-5_0003_Layer%2022.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-5-back_0003_Layer%2028.jpg,,,,,,AC Milan,c_81b92a9,,2023.0,Topps Merlin,,1,Rafael Leão,AC Milan,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-5_0003_Layer%2022.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-5-back_0003_Layer%2028.jpg,,2026-02-04T01:59:04.877Z,,
2023-24 Topps Chrome UEFA Club Competitions Starball Debut SD5 Sergio Aguero,Sergio Agüero,SD5,Topps Chrome,Topps,2023-24,UEFA Club Competitions,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0012_Layer%2032.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-54_0005_Layer%2038.jpg,,,,,,Manchester City,c_9946d0ca,,2023.0,Topps Chrome,,SD5,Sergio Agüero,Manchester City,UEFA Club Competitions,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-55_0012_Layer%2032.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-54_0005_Layer%2038.jpg,,2026-02-04T01:59:04.878Z,,
2024-25 Panini Donruss FIFA Magicians 10 Lionel Messi,Lionel Messi,10,Panini Donruss FIFA,Panini,2024-25,FIFA,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0009_Layer%20147.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0003_Layer%20153.jpg,,,,,,Argentina,c_f74002ea,,2024.0,Panini Donruss FIFA,,10,Lionel Messi,Argentina,FIFA,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0009_Layer%20147.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-18_0003_Layer%20153.jpg,,2026-02-04T01:59:04.879Z,,
2022-23 Topps Merlin Chrome UEFA Club Competitions 104 Lionel Messi,Lionel Messi,104,Merlin Chrome,Topps,2022-23,UEFA,Chrome,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0008_Layer%204.jpg|https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0008_Layer%204.jpg,,,,,,,c_698484d2,,2022.0,Merlin Chrome,,104,Lionel Messi,,UEFA,,,,,,,raw,1.0,,,USD,,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0008_Layer%204.jpg,https://sportscards.standard.us-east-1.oortstorages.com/new%20card%20scans%202/card%20matcher/Untitled-1_0008_Layer%204.jpg,,2026-02-04T01:59:04.876Z,,
